fecha,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2022-04-20,1185,484,566,79,0,0,0,0,0,56
2022-04-21,848,309,459,55,0,0,0,0,0,25
2022-04-22,1251,335,809,81,0,0,0,0,0,26
2022-04-23,149,44,86,16,0,0,0,0,0,3
2022-04-24,160,30,107,23,0,0,0,0,0,0
2022-04-25,873,215,561,63,0,0,0,0,0,34
2022-04-26,14654,2587,1122,4245,726,1324,2423,2052,140,35
2022-04-27,2431,620,754,576,67,89,107,190,9,19
2022-04-28,2554,700,673,439,51,213,259,191,28,0
2022-04-29,2434,831,551,416,65,140,139,208,55,29
2022-04-30,1126,411,237,192,45,114,73,50,2,2
2022-05-01,134,34,67,21,2,10,0,0,0,0
2022-05-02,66,13,2,40,1,4,6,0,0,0
2022-05-03,2294,779,621,298,59,163,169,193,3,9
2022-05-04,2344,693,559,402,74,122,179,274,16,25
2022-05-05,2046,605,578,375,31,92,140,207,17,1
2022-05-06,6182,993,800,1456,277,682,872,995,45,62
2022-05-07,1247,383,262,235,35,93,135,96,1,7
2022-05-08,221,19,68,122,2,4,6,0,0,0
2022-05-09,2192,687,580,413,62,114,146,140,31,19
2022-05-10,2529,816,598,534,61,105,185,195,30,5
2022-05-11,2780,769,647,585,58,161,264,257,33,6
2022-05-12,6464,1663,1615,1369,217,406,312,689,98,95
2022-05-13,854,230,338,23,26,40,125,56,3,13
2022-05-14,700,130,102,349,32,6,62,19,0,0
2022-05-15,150,16,50,65,6,8,1,0,4,0
2022-05-16,1806,333,442,458,62,161,206,107,31,6
2022-05-17,2373,452,725,726,69,81,152,110,55,3
2022-05-18,5679,1405,1364,1858,152,200,361,248,82,9
2022-05-19,5006,1107,993,1873,138,184,331,261,109,10
2022-05-20,6059,1446,1397,1867,161,309,436,324,105,14
2022-05-21,2873,692,598,943,123,140,296,67,12,2
2022-05-22,639,46,153,392,10,8,30,0,0,0
2022-05-23,3376,736,871,1203,83,41,139,225,66,12
2022-05-24,5276,1498,1011,1789,182,181,186,299,103,27
2022-05-25,3664,1064,806,1212,95,110,48,241,80,8
2022-05-26,2878,705,666,992,91,87,140,125,48,24
2022-05-27,2205,669,447,600,81,105,181,81,28,13
2022-05-28,1195,387,254,329,56,41,87,29,10,2
2022-05-29,304,6,79,216,3,0,0,0,0,0
2022-05-30,2651,607,683,845,60,109,164,142,34,7
2022-05-31,4243,1018,914,1241,166,213,380,227,72,12
2022-06-01,2764,774,622,692,121,119,181,182,44,29
2022-06-02,2572,672,552,635,82,184,205,171,56,15
2022-06-03,2840,793,551,689,91,115,275,263,46,17
2022-06-04,1776,558,378,521,63,68,104,54,26,4
2022-06-05,488,29,140,311,0,3,5,0,0,0
2022-06-06,2852,595,761,915,67,142,114,197,47,14
2022-06-07,4359,1172,985,1208,121,145,301,328,76,23
2022-06-08,3961,1149,794,1097,109,152,307,259,81,13
