fecha,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2022-04-19,69949,22601,16062,13305,2972,3623,8078,2264,490,554
2022-04-20,71134,23085,16628,13384,2972,3623,8078,2264,490,610
2022-04-21,71982,23394,17087,13439,2972,3623,8078,2264,490,635
2022-04-22,73233,23729,17896,13520,2972,3623,8078,2264,490,661
2022-04-23,73382,23773,17982,13536,2972,3623,8078,2264,490,664
2022-04-24,73542,23803,18089,13559,2972,3623,8078,2264,490,664
2022-04-25,74415,24018,18650,13622,2972,3623,8078,2264,490,698
2022-04-26,89069,26605,19772,17867,3698,4947,10501,4316,630,733
2022-04-27,91500,27225,20526,18443,3765,5036,10608,4506,639,752
2022-04-28,94054,27925,21199,18882,3816,5249,10867,4697,667,752
2022-04-29,96488,28756,21750,19298,3881,5389,11006,4905,722,781
2022-04-30,97614,29167,21987,19490,3926,5503,11079,4955,724,783
2022-05-01,97748,29201,22054,19511,3928,5513,11079,4955,724,783
2022-05-02,97814,29214,22056,19551,3929,5517,11085,4955,724,783
2022-05-03,100108,29993,22677,19849,3988,5680,11254,5148,727,792
2022-05-04,102452,30686,23236,20251,4062,5802,11433,5422,743,817
2022-05-05,104498,31291,23814,20626,4093,5894,11573,5629,760,818
2022-05-06,110680,32284,24614,22082,4370,6576,12445,6624,805,880
2022-05-07,111927,32667,24876,22317,4405,6669,12580,6720,806,887
2022-05-08,112148,32686,24944,22439,4407,6673,12586,6720,806,887
2022-05-09,114340,33373,25524,22852,4469,6787,12732,6860,837,906
2022-05-10,116869,34189,26122,23386,4530,6892,12917,7055,867,911
2022-05-11,119649,34958,26769,23971,4588,7053,13181,7312,900,917
2022-05-12,126113,36621,28384,25340,4805,7459,13493,8001,998,1012
2022-05-13,126967,36851,28722,25363,4831,7499,13618,8057,1001,1025
2022-05-14,127667,36981,28824,25712,4863,7505,13680,8076,1001,1025
2022-05-15,127817,36997,28874,25777,4869,7513,13681,8076,1005,1025
2022-05-16,129623,37330,29316,26235,4931,7674,13887,8183,1036,1031
2022-05-17,131996,37782,30041,26961,5000,7755,14039,8293,1091,1034
2022-05-18,137675,39187,31405,28819,5152,7955,14400,8541,1173,1043
2022-05-19,142681,40294,32398,30692,5290,8139,14731,8802,1282,1053
2022-05-20,148740,41740,33795,32559,5451,8448,15167,9126,1387,1067
2022-05-21,151613,42432,34393,33502,5574,8588,15463,9193,1399,1069
2022-05-22,152252,42478,34546,33894,5584,8596,15493,9193,1399,1069
2022-05-23,155628,43214,35417,35097,5667,8637,15632,9418,1465,1081
2022-05-24,160904,44712,36428,36886,5849,8818,15818,9717,1568,1108
2022-05-25,164568,45776,37234,38098,5944,8928,15866,9958,1648,1116
2022-05-26,167446,46481,37900,39090,6035,9015,16006,10083,1696,1140
2022-05-27,169651,47150,38347,39690,6116,9120,16187,10164,1724,1153
2022-05-28,170846,47537,38601,40019,6172,9161,16274,10193,1734,1155
2022-05-29,171150,47543,38680,40235,6175,9161,16274,10193,1734,1155
2022-05-30,173801,48150,39363,41080,6235,9270,16438,10335,1768,1162
2022-05-31,178044,49168,40277,42321,6401,9483,16818,10562,1840,1174
2022-06-01,180808,49942,40899,43013,6522,9602,16999,10744,1884,1203
2022-06-02,183380,50614,41451,43648,6604,9786,17204,10915,1940,1218
2022-06-03,186220,51407,42002,44337,6695,9901,17479,11178,1986,1235
2022-06-04,187996,51965,42380,44858,6758,9969,17583,11232,2012,1239
2022-06-05,188484,51994,42520,45169,6758,9972,17588,11232,2012,1239
2022-06-06,191336,52589,43281,46084,6825,10114,17702,11429,2059,1253
2022-06-07,195695,53761,44266,47292,6946,10259,18003,11757,2135,1276
2022-06-08,199656,54910,45060,48389,7055,10411,18310,12016,2216,1289
