fecha,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2021-02-03,0,0,0,0,0,0,0,0,0,0
2021-02-04,0,0,0,0,0,0,0,0,0,0
2021-02-05,0,0,0,0,0,0,0,0,0,0
2021-02-06,0,0,0,0,0,0,0,0,0,0
2021-02-07,0,0,0,0,0,0,0,0,0,0
2021-02-08,0,0,0,0,0,0,0,0,0,0
2021-02-09,0,0,0,0,0,0,0,0,0,0
2021-02-10,0,0,0,0,0,0,0,0,0,0
2021-02-11,0,0,0,0,0,0,0,0,0,0
2021-02-12,0,0,0,0,0,0,0,0,0,0
2021-02-13,0,0,0,0,0,0,0,0,0,0
2021-02-14,0,0,0,0,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0,0,0,0,0
2021-02-17,0,0,0,0,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,0,0,0,0,0
2021-02-19,0,0,0,0,0,0,0,0,0,0
2021-02-20,12,12,0,0,0,0,0,0,0,0
2021-02-21,0,0,0,0,0,0,0,0,0,0
2021-02-22,198,0,24,0,0,54,10,25,0,85
2021-02-23,820,19,142,244,25,69,112,49,6,154
2021-02-24,1604,233,422,375,74,50,154,150,36,110
2021-02-25,3996,1654,732,1045,182,92,23,177,1,90
2021-02-26,0,0,0,0,0,0,0,0,0,0
2021-02-27,971,0,0,0,121,100,225,271,178,76
2021-02-28,0,0,0,0,0,0,0,0,0,0
2021-03-01,0,0,0,0,0,0,0,0,0,0
2021-03-02,1561,0,305,146,295,201,243,123,248,0
2021-03-03,0,0,0,0,0,0,0,0,0,0
2021-03-04,0,0,0,0,0,0,0,0,0,0
2021-03-05,0,0,0,0,0,0,0,0,0,0
2021-03-06,623,0,39,337,3,155,56,8,17,8
2021-03-07,0,0,0,0,0,0,0,0,0,0
2021-03-08,45,0,0,0,0,19,0,0,21,5
2021-03-09,40,0,0,1,0,34,0,2,3,0
2021-03-10,8,0,0,6,0,2,0,0,0,0
2021-03-11,60,0,0,4,0,12,38,5,1,0
2021-03-12,13,0,0,1,0,0,8,0,0,4
2021-03-13,0,0,0,0,0,0,0,0,0,0
2021-03-14,0,0,0,0,0,0,0,0,0,0
2021-03-15,45,0,0,0,6,0,0,0,39,0
2021-03-16,11,0,0,0,0,11,0,0,0,0
2021-03-17,54,0,0,0,0,10,0,0,44,0
2021-03-18,1068,1,0,887,140,1,0,36,3,0
2021-03-19,5810,1019,0,2665,1141,9,768,208,0,0
2021-03-20,1633,337,0,52,937,0,227,32,48,0
2021-03-21,930,150,0,0,650,0,109,21,0,0
2021-03-22,8733,2643,314,2435,884,120,1289,651,178,219
2021-03-23,13907,4376,2213,2217,473,445,2291,1224,513,155
2021-03-24,15155,3892,3498,3522,270,783,1649,808,630,103
2021-03-25,14144,2600,3510,3797,289,964,956,1026,826,176
2021-03-26,14466,2907,3474,4400,312,867,488,805,1110,103
2021-03-27,2408,528,787,344,69,149,47,285,193,6
2021-03-28,403,194,70,2,0,27,15,5,90,0
2021-03-29,6608,1902,926,2120,329,394,296,194,352,95
2021-03-30,7040,1504,1245,2782,235,294,248,352,289,91
2021-03-31,6939,1565,1499,2378,149,244,245,536,235,88
2021-04-01,5707,1570,1369,1286,162,198,362,529,159,72
2021-04-02,956,143,198,83,7,25,405,27,10,58
2021-04-03,724,218,308,28,9,15,6,125,12,3
2021-04-04,386,324,8,10,0,15,12,7,0,10
2021-04-05,6629,2039,1347,1271,198,357,214,772,323,108
2021-04-06,4661,1266,878,1112,91,158,218,700,104,134
2021-04-07,4324,906,969,858,104,164,448,692,124,59
2021-04-08,4380,1048,900,948,118,239,448,445,143,91
2021-04-09,3969,1295,610,872,84,205,357,446,66,34
2021-04-10,457,164,62,29,22,69,51,51,9,0
2021-04-11,167,27,31,36,1,27,0,2,34,9
2021-04-12,2761,619,641,554,111,231,217,226,131,31
2021-04-13,3769,572,1488,683,169,209,298,212,87,51
2021-04-14,5022,811,2428,749,164,251,310,111,113,85
2021-04-15,5603,774,2959,927,177,265,292,21,98,90
2021-04-16,6343,900,3192,1077,216,252,170,226,176,134
2021-04-17,728,210,304,59,24,29,2,67,20,13
2021-04-18,200,91,51,0,1,29,0,18,8,2
2021-04-19,5414,929,2228,1660,95,169,118,76,83,56
2021-04-20,5619,1177,1464,2219,119,327,55,77,122,59
2021-04-21,5599,1085,770,2886,267,296,92,72,97,34
2021-04-22,5933,1157,901,2943,151,351,126,102,186,16
2021-04-23,1819,349,211,913,52,99,25,103,32,35
2021-04-24,315,67,50,59,38,79,2,8,11,1
2021-04-25,234,111,34,0,10,65,7,0,2,5
2021-04-26,7135,1248,2366,2417,188,608,84,66,150,8
2021-04-27,7829,1492,2360,1808,422,939,111,207,468,22
2021-04-28,8585,1752,1510,2301,681,1025,419,287,582,28
2021-04-29,7930,1376,1144,1834,908,968,507,383,742,68
2021-04-30,9605,2270,977,2571,891,890,859,434,673,40
2021-05-01,1441,492,85,178,401,40,85,42,73,45
2021-05-02,1207,355,137,57,411,162,18,26,38,3
2021-05-03,6119,1387,896,1779,415,419,402,346,438,37
2021-05-04,5947,1140,856,1396,359,508,602,472,588,26
2021-05-05,4964,1039,378,1260,320,506,547,248,619,47
2021-05-06,4520,816,429,1380,214,600,460,143,432,46
2021-05-07,5800,1387,369,2221,281,421,250,150,648,73
2021-05-08,1885,584,128,254,311,129,257,28,170,24
2021-05-09,665,245,34,53,80,134,72,17,25,5
2021-05-10,4667,1185,324,1640,149,425,224,191,500,29
2021-05-11,4257,1286,119,1339,219,329,293,150,490,32
2021-05-12,3022,1167,185,626,102,383,174,214,160,11
2021-05-13,3379,965,216,891,70,165,96,512,414,50
2021-05-14,3593,1069,181,1026,117,287,169,286,385,73
2021-05-15,1008,587,25,84,31,102,39,55,83,2
2021-05-16,902,467,44,6,43,251,73,1,8,9
2021-05-17,3078,856,104,728,66,535,72,220,390,107
2021-05-18,3177,946,39,686,124,468,141,215,442,116
2021-05-19,2540,849,66,495,30,275,115,185,377,148
2021-05-20,2309,884,68,470,13,172,22,213,242,225
2021-05-21,1962,837,101,289,16,102,139,163,191,124
2021-05-22,984,440,50,0,7,83,225,54,73,52
2021-05-23,836,234,3,166,0,11,324,4,35,59
2021-05-24,2438,674,66,978,5,102,220,132,158,103
2021-05-25,9729,1032,2628,4580,9,264,664,352,114,86
2021-05-26,13695,4283,2717,3627,1722,156,555,426,126,83
2021-05-27,13804,7222,2972,2235,473,121,270,357,89,65
2021-05-28,5360,3064,77,1065,60,97,199,507,264,27
2021-05-29,1253,345,3,4,4,204,358,237,56,42
2021-05-30,616,253,10,8,0,52,224,10,51,8
